Using KITTI splits in /home/ubuntu/PriorDepth/KP3D_Baseline/priordepth/KP3D_baseline/datasets/splits/eigen_zhou/{}_files.txt
LOADING MONODEPTH2 ENCODER
LOADING MONODEPTH2 DECODER
Using pretrained Model for KP2D trained_models/model_keypoint2_kitti.ckpt
Training model named:
   KP3D Baseline
Models and tensorboard events files are saved to:
   /home/ubuntu/PriorDepth/KP3D_exp_logs/06_14_2021__13_19_28
Training is using:
   cuda
No Multiscale
Trainer is created successfully.
Training starts!
epoch   0 | batch      0 | examples/s:   7.0 | loss: 0.06159 | time elapsed: 00h00m10s | time left: 00h00m00s
epoch   0 | batch   1760 | examples/s:   9.8 | loss: 0.06128 | time elapsed: 00h33m45s | time left: 12h09m39s
epoch   0 | batch   1780 | examples/s:   8.5 | loss: 0.05339 | time elapsed: 00h34m08s | time left: 12h09m19s
epoch   0 | batch   1800 | examples/s:   8.8 | loss: 0.04802 | time elapsed: 00h34m31s | time left: 12h08m57s
epoch   0 | batch   1820 | examples/s:   8.6 | loss: 0.05579 | time elapsed: 00h34m53s | time left: 12h08m24s
epoch   0 | batch   1840 | examples/s:   9.0 | loss: 0.05923 | time elapsed: 00h35m17s | time left: 12h08m11s
epoch   0 | batch   1860 | examples/s:   8.8 | loss: 0.05662 | time elapsed: 00h35m40s | time left: 12h07m41s
epoch   0 | batch   1880 | examples/s:   8.4 | loss: 0.06638 | time elapsed: 00h36m02s | time left: 12h07m17s
epoch   0 | batch   1900 | examples/s:   9.9 | loss: 0.05288 | time elapsed: 00h36m25s | time left: 12h06m51s
epoch   0 | batch   1920 | examples/s:   8.4 | loss: 0.05480 | time elapsed: 00h36m48s | time left: 12h06m27s
epoch   0 | batch   1940 | examples/s:   8.7 | loss: 0.05250 | time elapsed: 00h37m11s | time left: 12h05m59s
epoch   0 | batch   1960 | examples/s:   8.9 | loss: 0.05553 | time elapsed: 00h37m34s | time left: 12h05m34s
epoch   0 | batch   1980 | examples/s:   8.3 | loss: 0.06014 | time elapsed: 00h37m57s | time left: 12h05m10s
epoch   0 | batch   2000 | examples/s:   8.3 | loss: 0.06170 | time elapsed: 00h38m20s | time left: 12h04m53s
epoch   0 | batch   4000 | examples/s:   8.7 | loss: 0.05468 | time elapsed: 01h09m00s | time left: 10h17m45s
epoch   1 | batch   1024 | examples/s:   9.1 | loss: 0.06289 | time elapsed: 01h39m42s | time left: 09h21m48s
epoch   1 | batch   3024 | examples/s:   8.4 | loss: 0.05316 | time elapsed: 02h10m30s | time left: 08h38m55s
epoch   2 | batch     48 | examples/s:   8.0 | loss: 0.05676 | time elapsed: 02h41m22s | time left: 08h01m01s
epoch   2 | batch   2048 | examples/s:   8.0 | loss: 0.04847 | time elapsed: 03h12m09s | time left: 07h25m17s
epoch   2 | batch   4048 | examples/s:   8.8 | loss: 0.05520 | time elapsed: 03h42m58s | time left: 06h51m03s
epoch   3 | batch   1072 | examples/s:   8.2 | loss: 0.04795 | time elapsed: 04h13m53s | time left: 06h17m47s
epoch   3 | batch   3072 | examples/s:   8.7 | loss: 0.05763 | time elapsed: 04h44m44s | time left: 05h44m59s
epoch   4 | batch     96 | examples/s:   8.4 | loss: 0.05050 | time elapsed: 05h15m56s | time left: 05h12m54s
epoch   4 | batch   2096 | examples/s:   9.0 | loss: 0.06150 | time elapsed: 05h47m05s | time left: 04h40m57s
epoch   4 | batch   4096 | examples/s:   7.9 | loss: 0.05360 | time elapsed: 06h18m19s | time left: 04h09m11s
epoch   5 | batch   1120 | examples/s:   8.1 | loss: 0.04905 | time elapsed: 06h49m40s | time left: 03h37m34s
epoch   5 | batch   3120 | examples/s:   9.0 | loss: 0.06304 | time elapsed: 07h20m52s | time left: 03h05m55s
epoch   6 | batch    144 | examples/s:   8.2 | loss: 0.06265 | time elapsed: 07h52m08s | time left: 02h34m21s
epoch   6 | batch   2144 | examples/s:   7.8 | loss: 0.05637 | time elapsed: 08h23m19s | time left: 02h02m48s
epoch   6 | batch   4144 | examples/s:   8.8 | loss: 0.05238 | time elapsed: 08h54m28s | time left: 01h31m18s
epoch   7 | batch   1168 | examples/s:   8.2 | loss: 0.06034 | time elapsed: 09h25m56s | time left: 00h59m51s
epoch   7 | batch   3168 | examples/s:   8.6 | loss: 0.06025 | time elapsed: 09h57m06s | time left: 00h28m24s
